state	year	state.population	prison.population	region
Rhode Island	1993	NA	2600	Northeast
South Carolina	1993	NA	16933	South
South Dakota	1993	NA	1570	Midwest
Tennessee	1993	NA	11495	South
Texas	1993	NA	70127	South
Utah	1993	NA	3046	West
Vermont	1993	NA	1188	Northeast
Virginia	1993	NA	18258	South
Washington	1993	NA	10429	West
West Virginia	1993	NA	1805	South
Wisconsin	1993	NA	8781	Midwest
Wyoming	1993	NA	1102	West
Alabama	1994	NA	19179	South
Alaska	1994	NA	2745	West
Arizona	1994	NA	19746	West
Arkansas	1994	NA	8242	South
California	1994	NA	125605	West
Colorado	1994	NA	9177	West
Connecticut	1994	NA	14246	Northeast
Delaware	1994	NA	4451	South
Florida	1994	NA	57168	South
Georgia	1994	NA	33425	South
Hawaii	1994	NA	2909	West
Idaho	1994	NA	2493	West
Illinois	1994	NA	36531	Midwest
Indiana	1994	NA	15014	Midwest
Iowa	1994	NA	5437	Midwest
Kansas	1994	NA	6369	Midwest
Kentucky	1994	NA	9097	South
Louisiana	1994	NA	15982	South
Maine	1994	NA	1460	Northeast
Maryland	1994	NA	20719	South
Massachusetts	1994	NA	11396	Northeast
Michigan	1994	NA	40631	Midwest
Minnesota	1994	NA	4372	Midwest
Mississippi	1994	NA	9705	South
Missouri	1994	NA	17911	Midwest
Montana	1994	NA	1708	West
Nebraska	1994	NA	2701	Midwest
Nevada	1994	NA	6884	West
New Hampshire	1994	NA	2066	Northeast
New Jersey	1994	NA	21219	Northeast
New Mexico	1994	NA	3868	West
New York	1994	NA	66750	Northeast
North Carolina	1994	NA	23836	South
North Dakota	1994	NA	612	Midwest
Ohio	1994	NA	40253	Midwest
Oklahoma	1994	NA	13386	South
Oregon	1994	NA	6915	West
Pennsylvania	1994	NA	28285	Northeast
Rhode Island	1994	NA	2937	Northeast
South Carolina	1994	NA	17362	South
South Dakota	1994	NA	1734	Midwest
Tennessee	1994	NA	12572	South
Texas	1994	NA	97475	South
Utah	1994	NA	3238	West
Vermont	1994	NA	1267	Northeast
Virginia	1994	NA	21108	South
Washington	1994	NA	10847	West
West Virginia	1994	NA	1930	South
Wisconsin	1994	NA	10022	Midwest
Wyoming	1994	NA	1065	West
Alabama	1995	NA	20549	South
Alaska	1995	NA	2832	West
Arizona	1995	NA	21341	West
Arkansas	1995	NA	8364	South
California	1995	NA	135133	West
Colorado	1995	NA	9508	West
Connecticut	1995	NA	14681	Northeast
Delaware	1995	NA	4799	South
Florida	1995	NA	63879	South
Georgia	1995	NA	34266	South
Hawaii	1995	NA	2812	West
Idaho	1995	NA	3079	West
Illinois	1995	NA	37658	Midwest
Indiana	1995	NA	16125	Midwest
Iowa	1995	NA	5906	Midwest
Kansas	1995	NA	7055	Midwest
Kentucky	1995	NA	9928	South
Louisiana	1995	NA	16976	South
Maine	1995	NA	1455	Northeast
Maryland	1995	NA	21124	South
Massachusetts	1995	NA	10369	Northeast
Michigan	1995	NA	41112	Midwest
Minnesota	1995	NA	4628	Midwest
Mississippi	1995	NA	10124	South
Missouri	1995	NA	19151	Midwest
Montana	1995	NA	1601	West
Nebraska	1995	NA	3051	Midwest
Nevada	1995	NA	7599	West
New Hampshire	1995	NA	2002	Northeast
New Jersey	1995	NA	22808	Northeast
New Mexico	1995	NA	4209	West
New York	1995	NA	68486	Northeast
North Carolina	1995	NA	27313	South
North Dakota	1995	NA	670	Midwest
Ohio	1995	NA	44338	Midwest
Oklahoma	1995	NA	14568	South
Oregon	1995	NA	7812	West
Pennsylvania	1995	NA	32402	Northeast
Rhode Island	1995	NA	2854	Northeast
South Carolina	1995	NA	18864	South
South Dakota	1995	NA	1864	Midwest
Tennessee	1995	NA	13040	South
Texas	1995	NA	127766	South
Utah	1995	NA	3985	West
Vermont	1995	NA	1245	Northeast
Virginia	1995	NA	23890	South
Washington	1995	NA	11679	West
West Virginia	1995	NA	2378	South
Wisconsin	1995	NA	11199	Midwest
Wyoming	1995	NA	1250	West
Alabama	1996	NA	21424	South
Alaska	1996	NA	2968	West
Arizona	1996	NA	22493	West
Arkansas	1996	NA	8675	South
California	1996	NA	145565	West
Colorado	1996	NA	10302	West
Connecticut	1996	NA	15233	Northeast
Delaware	1996	NA	5107	South
Florida	1996	NA	63763	South
Georgia	1996	NA	35139	South
Hawaii	1996	NA	3309	West
Idaho	1996	NA	3257	West
Illinois	1996	NA	38852	Midwest
Indiana	1996	NA	15766	Midwest
Iowa	1996	NA	6342	Midwest
Kansas	1996	NA	7755	Midwest
Kentucky	1996	NA	10148	South
Louisiana	1996	NA	17664	South
Maine	1996	NA	1476	Northeast
Maryland	1996	NA	21729	South
Massachusetts	1996	NA	10803	Northeast
Michigan	1996	NA	42349	Midwest
Minnesota	1996	NA	4804	Midwest
Mississippi	1996	NA	10030	South
Missouri	1996	NA	22018	Midwest
Montana	1996	NA	1590	West
Nebraska	1996	NA	3216	Midwest
Nevada	1996	NA	8081	West
New Hampshire	1996	NA	2037	Northeast
New Jersey	1996	NA	23123	Northeast
New Mexico	1996	NA	4733	West
New York	1996	NA	69709	Northeast
North Carolina	1996	NA	28756	South
North Dakota	1996	NA	765	Midwest
Ohio	1996	NA	45968	Midwest
Oklahoma	1996	NA	15130	South
Oregon	1996	NA	8457	West
Pennsylvania	1996	NA	34476	Northeast
Rhode Island	1996	NA	3233	Northeast
South Carolina	1996	NA	19860	South
South Dakota	1996	NA	2063	Midwest
Tennessee	1996	NA	13565	South
Texas	1996	NA	132383	South
Utah	1996	NA	4560	West
Vermont	1996	NA	1119	Northeast
Virginia	1996	NA	25149	South
Washington	1996	NA	12588	West
West Virginia	1996	NA	2468	South
Wisconsin	1996	NA	12530	Midwest
Wyoming	1996	NA	1327	West
Alabama	1997	NA	21974	South
Alaska	1997	NA	3204	West
Arizona	1997	NA	23484	West
Arkansas	1997	NA	8979	South
California	1997	NA	155276	West
Colorado	1997	NA	10566	West
Connecticut	1997	NA	15558	Northeast
Delaware	1997	NA	5432	South
Florida	1997	NA	64626	South
Georgia	1997	NA	36505	South
Hawaii	1997	NA	4078	West
Idaho	1997	NA	3312	West
Illinois	1997	NA	40788	Midwest
Indiana	1997	NA	16511	Midwest
Iowa	1997	NA	6938	Midwest
Kansas	1997	NA	7914	Midwest
Kentucky	1997	NA	10875	South
Louisiana	1997	NA	18470	South
Maine	1997	NA	1601	Northeast
Maryland	1997	NA	21870	South
Massachusetts	1997	NA	10918	Northeast
Michigan	1997	NA	44771	Midwest
Minnesota	1997	NA	5327	Midwest
Mississippi	1997	NA	10347	South
Missouri	1997	NA	23652	Midwest
Montana	1997	NA	1862	West
Nebraska	1997	NA	3348	Midwest
Nevada	1997	NA	8623	West
New Hampshire	1997	NA	2104	Northeast
New Jersey	1997	NA	25497	Northeast
New Mexico	1997	NA	3639	West
New York	1997	NA	69383	Northeast
North Carolina	1997	NA	30990	South
North Dakota	1997	NA	823	Midwest
Ohio	1997	NA	47808	Midwest
Oklahoma	1997	NA	14893	South
Oregon	1997	NA	7774	West
Pennsylvania	1997	NA	34929	Northeast
Rhode Island	1997	NA	3310	Northeast
South Carolina	1997	NA	20613	South
South Dakota	1997	NA	2239	Midwest
Tennessee	1997	NA	15095	South
Texas	1997	NA	140351	South
Utah	1997	NA	4861	West
Vermont	1997	NA	1270	Northeast
Virginia	1997	NA	24632	South
Washington	1997	NA	13226	West
West Virginia	1997	NA	2397	South
Wisconsin	1997	NA	13700	Midwest
Wyoming	1997	NA	1418	West
Alabama	1998	NA	22267	South
Alaska	1998	NA	2601	West
Arizona	1998	NA	25515	West
Arkansas	1998	NA	10042	South
California	1998	NA	159563	West
Colorado	1998	NA	11578	West
Connecticut	1998	NA	16104	Northeast
Delaware	1998	NA	5554	South
Florida	1998	NA	67224	South
Georgia	1998	NA	39262	South
Hawaii	1998	NA	3569	West
Idaho	1998	NA	3459	West
Illinois	1998	NA	43051	Midwest
Indiana	1998	NA	17605	Midwest
Iowa	1998	NA	7394	Midwest
Kansas	1998	NA	8180	Midwest
Kentucky	1998	NA	11214	South
Louisiana	1998	NA	18975	South
Maine	1998	NA	1629	Northeast
Maryland	1998	NA	22232	South
Massachusetts	1998	NA	10982	Northeast
Michigan	1998	NA	45879	Midwest
Minnesota	1998	NA	5480	Midwest
Mississippi	1998	NA	9943	South
Missouri	1998	NA	25064	Midwest
Montana	1998	NA	2340	West
Nebraska	1998	NA	3612	Midwest
Nevada	1998	NA	9239	West
New Hampshire	1998	NA	2140	Northeast
New Jersey	1998	NA	27310	Northeast
New Mexico	1998	NA	3440	West
New York	1998	NA	70350	Northeast
North Carolina	1998	NA	30682	South
North Dakota	1998	NA	941	Midwest
Ohio	1998	NA	48171	Midwest
Oklahoma	1998	NA	14765	South
Oregon	1998	NA	8652	West
Pennsylvania	1998	NA	36440	Northeast
Rhode Island	1998	NA	3318	Northeast
South Carolina	1998	NA	20997	South
South Dakota	1998	NA	2435	Midwest
Tennessee	1998	NA	15483	South
Texas	1998	NA	144510	South
Utah	1998	NA	5118	West
Vermont	1998	NA	1240	Northeast
Virginia	1998	NA	26417	South
Washington	1998	NA	14188	West
West Virginia	1998	NA	2827	South
Wisconsin	1998	NA	14506	Midwest
Wyoming	1998	NA	1432	West
Alabama	1999	NA	21227	South
Alaska	1999	NA	2529	West
Arizona	1999	NA	24594	West
Arkansas	1999	NA	9174	South
California	1999	NA	156066	West
Colorado	1999	NA	12995	West
Connecticut	1999	NA	16987	Northeast
Delaware	1999	NA	6585	South
Florida	1999	NA	65823	South
Georgia	1999	NA	39090	South
Hawaii	1999	NA	3486	West
Idaho	1999	NA	3834	West
Illinois	1999	NA	44660	Midwest
Indiana	1999	NA	17149	Midwest
Iowa	1999	NA	7232	Midwest
Kansas	1999	NA	8569	Midwest
Kentucky	1999	NA	11125	South
Louisiana	1999	NA	16094	South
Maine	1999	NA	1639	Northeast
Maryland	1999	NA	22598	South
Massachusetts	1999	NA	10632	Northeast
Michigan	1999	NA	46316	Midwest
Minnesota	1999	NA	5601	Midwest
Mississippi	1999	NA	9849	South
Missouri	1999	NA	26160	Midwest
Montana	1999	NA	1571	West
Nebraska	1999	NA	3566	Midwest
Nevada	1999	NA	8752	West
New Hampshire	1999	NA	2247	Northeast
New Jersey	1999	NA	24648	Northeast
New Mexico	1999	NA	3074	West
New York	1999	NA	71809	Northeast
North Carolina	1999	NA	29683	South
North Dakota	1999	NA	914	Midwest
Ohio	1999	NA	46619	Midwest
Oklahoma	1999	NA	14870	South
Oregon	1999	NA	9427	West
Pennsylvania	1999	NA	36457	Northeast
Rhode Island	1999	NA	2926	Northeast
South Carolina	1999	NA	21016	South
South Dakota	1999	NA	2492	Midwest
Tennessee	1999	NA	13336	South
Texas	1999	NA	136882	South
Utah	1999	NA	3992	West
Vermont	1999	NA	1135	Northeast
Virginia	1999	NA	27312	South
Washington	1999	NA	13952	West
West Virginia	1999	NA	2880	South
Wisconsin	1999	NA	15286	Midwest
Wyoming	1999	NA	1258	West
Alabama	2000	4447100	23040	South
Alaska	2000	626932	2757	West
Arizona	2000	5130632	25080	West
Arkansas	2000	2673400	9603	South
California	2000	33871648	156108	West
Colorado	2000	4301261	14655	West
Connecticut	2000	3405565	16671	Northeast
Delaware	2000	783600	6572	South
Florida	2000	15982378	67407	South
Georgia	2000	8186453	40486	South
Hawaii	2000	1211537	3607	West
Idaho	2000	1293953	3807	West
Illinois	2000	12419293	45281	Midwest
Indiana	2000	6080485	17947	Midwest
Iowa	2000	2926324	7955	Midwest
Kansas	2000	2688418	8352	Midwest
Kentucky	2000	4041769	9765	South
Louisiana	2000	4468976	16296	South
Maine	2000	1274923	1636	Northeast
Maryland	2000	5296486	23454	South
Massachusetts	2000	6349097	10335	Northeast
Michigan	2000	9938444	47269	Midwest
Minnesota	2000	4919479	6053	Midwest
Mississippi	2000	2844658	11082	South
Missouri	2000	5595211	27385	Midwest
Montana	2000	902195	1571	West
Nebraska	2000	1711263	3810	Midwest
Nevada	2000	1998257	9280	West
New Hampshire	2000	1235786	2283	Northeast
New Jersey	2000	8414350	24061	Northeast
New Mexico	2000	1819046	3187	West
New York	2000	18976457	70490	Northeast
North Carolina	2000	8049313	30868	South
North Dakota	2000	642200	927	Midwest
Ohio	2000	11353140	43587	Midwest
Oklahoma	2000	3450654	15006	South
Oregon	2000	3421399	10139	West
Pennsylvania	2000	12281054	36784	Northeast
Rhode Island	2000	1048319	3425	Northeast
South Carolina	2000	4012012	20877	South
South Dakota	2000	754844	2547	Midwest
Tennessee	2000	5689283	13483	South
Texas	2000	20851820	134599	South
Utah	2000	2233169	4208	West
Vermont	2000	608827	1310	Northeast
Virginia	2000	7078515	27602	South
Washington	2000	5894121	14920	West
West Virginia	2000	1808344	3060	South
Wisconsin	2000	5363675	15506	Midwest
Wyoming	2000	493782	1267	West
Alabama	2001	NA	24741	South
Alaska	2001	NA	3033	West
Arizona	2001	NA	26281	West
Arkansas	2001	NA	11489	South
California	2001	NA	152690	West
Colorado	2001	NA	14888	West
Connecticut	2001	NA	17507	Northeast
Delaware	2001	NA	6841	South
Florida	2001	NA	68409	South
Georgia	2001	NA	41355	South
Hawaii	2001	NA	3865	West
Idaho	2001	NA	3922	West
Illinois	2001	NA	44348	Midwest
Indiana	2001	NA	18731	Midwest
Iowa	2001	NA	7962	Midwest
Kansas	2001	NA	8476	Midwest
Kentucky	2001	NA	9692	South
Louisiana	2001	NA	16732	South
Maine	2001	NA	1664	Northeast
Maryland	2001	NA	23611	South
Massachusetts	2001	NA	10203	Northeast
Michigan	2001	NA	48400	Midwest
Minnesota	2001	NA	6406	Midwest
Mississippi	2001	NA	11497	South
Missouri	2001	NA	28575	Midwest
Montana	2001	NA	1708	West
Nebraska	2001	NA	3915	Midwest
Nevada	2001	NA	9384	West
New Hampshire	2001	NA	2419	Northeast
New Jersey	2001	NA	23432	Northeast
New Mexico	2001	NA	3184	West
New York	2001	NA	67554	Northeast
North Carolina	2001	NA	32012	South
North Dakota	2001	NA	1044	Midwest
Ohio	2001	NA	42944	Midwest
Oklahoma	2001	NA	15061	South
Oregon	2001	NA	10950	West
Pennsylvania	2001	NA	37141	Northeast
Rhode Island	2001	NA	3364	Northeast
South Carolina	2001	NA	21713	South
South Dakota	2001	NA	2764	Midwest
Tennessee	2001	NA	13788	South
Texas	2001	NA	132149	South
Utah	2001	NA	4145	West
Vermont	2001	NA	1400	Northeast
Virginia	2001	NA	29906	South
Washington	2001	NA	14750	West
West Virginia	2001	NA	1866	South
Wisconsin	2001	NA	17337	Midwest
Wyoming	2001	NA	1021	West
Alabama	2002	NA	25100	South
Alaska	2002	NA	2991	West
Arizona	2002	NA	27394	West
Arkansas	2002	NA	11849	South
California	2002	NA	155046	West
Colorado	2002	NA	16184	West
Connecticut	2002	NA	18716	Northeast
Delaware	2002	NA	6637	South
Florida	2002	NA	71037	South
Georgia	2002	NA	42872	South
Hawaii	2002	NA	3722	West
Idaho	2002	NA	4185	West
Illinois	2002	NA	42693	Midwest
Indiana	2002	NA	19506	Midwest
Iowa	2002	NA	8398	Midwest
Kansas	2002	NA	8967	Midwest
Kentucky	2002	NA	9948	South
Louisiana	2002	NA	17081	South
Maine	2002	NA	1847	Northeast
Maryland	2002	NA	23987	South
Massachusetts	2002	NA	9879	Northeast
Michigan	2002	NA	50131	Midwest
Minnesota	2002	NA	6855	Midwest
Mississippi	2002	NA	11920	South
Missouri	2002	NA	29795	Midwest
Montana	2002	NA	1907	West
Nebraska	2002	NA	4048	Midwest
Nevada	2002	NA	9667	West
New Hampshire	2002	NA	2475	Northeast
New Jersey	2002	NA	23700	Northeast
New Mexico	2002	NA	3301	West
New York	2002	NA	66925	Northeast
North Carolina	2002	NA	32732	South
North Dakota	2002	NA	1094	Midwest
Ohio	2002	NA	43357	Midwest
Oklahoma	2002	NA	15526	South
Oregon	2002	NA	11650	West
Pennsylvania	2002	NA	39187	Northeast
Rhode Island	2002	NA	3473	Northeast
South Carolina	2002	NA	22875	South
South Dakota	2002	NA	2911	Midwest
Tennessee	2002	NA	14097	South
Texas	2002	NA	135673	South
Utah	2002	NA	4285	West
Vermont	2002	NA	1361	Northeast
Virginia	2002	NA	29368	South
Washington	2002	NA	16263	West
West Virginia	2002	NA	3575	South
Wisconsin	2002	NA	18203	Midwest
Wyoming	2002	NA	1114	West
Alabama	2003	NA	25916	South
Alaska	2003	NA	3086	West
Arizona	2003	NA	28761	West
Arkansas	2003	NA	12068	South
California	2003	NA	158278	West
Colorado	2003	NA	16437	West
Connecticut	2003	NA	18023	Northeast
Delaware	2003	NA	6630	South
Florida	2003	NA	75264	South
Georgia	2003	NA	42619	South
Hawaii	2003	NA	4021	West
Idaho	2003	NA	4291	West
Illinois	2003	NA	43418	Midwest
Indiana	2003	NA	20693	Midwest
Iowa	2003	NA	8546	Midwest
Kansas	2003	NA	9168	Midwest
Kentucky	2003	NA	10020	South
Louisiana	2003	NA	16580	South
Maine	2003	NA	1944	Northeast
Maryland	2003	NA	23646	South
Massachusetts	2003	NA	9828	Northeast
Michigan	2003	NA	48878	Midwest
Minnesota	2003	NA	7392	Midwest
Mississippi	2003	NA	12400	South
Missouri	2003	NA	29864	Midwest
Montana	2003	NA	1994	West
Nebraska	2003	NA	4073	Midwest
Nevada	2003	NA	10584	West
New Hampshire	2003	NA	2427	Northeast
New Jersey	2003	NA	23082	Northeast
New Mexico	2003	NA	3472	West
New York	2003	NA	65388	Northeast
North Carolina	2003	NA	33659	South
North Dakota	2003	NA	1100	Midwest
Ohio	2003	NA	42449	Midwest
Oklahoma	2003	NA	16666	South
Oregon	2003	NA	12207	West
Pennsylvania	2003	NA	40344	Northeast
Rhode Island	2003	NA	3576	Northeast
South Carolina	2003	NA	22898	South
South Dakota	2003	NA	2994	Midwest
Tennessee	2003	NA	14092	South
Texas	2003	NA	136486	South
Utah	2003	NA	4623	West
Vermont	2003	NA	1491	Northeast
Virginia	2003	NA	29353	South
Washington	2003	NA	16227	West
West Virginia	2003	NA	3790	South
Wisconsin	2003	NA	20246	Midwest
Wyoming	2003	NA	1137	West
Alabama	2004	NA	25391	South
Alaska	2004	NA	3142	West
Arizona	2004	NA	28208	West
Arkansas	2004	NA	12577	South
California	2004	NA	160950	West
Colorado	2004	NA	16836	West
Connecticut	2004	NA	17993	Northeast
Delaware	2004	NA	6753	South
Florida	2004	NA	78837	South
Georgia	2004	NA	46411	South
Hawaii	2004	NA	3889	West
Idaho	2004	NA	4495	West
Illinois	2004	NA	44054	Midwest
Indiana	2004	NA	21343	Midwest
Iowa	2004	NA	8525	Midwest
Kansas	2004	NA	8991	Midwest
Kentucky	2004	NA	11576	South
Louisiana	2004	NA	16549	South
Maine	2004	NA	1981	Northeast
Maryland	2004	NA	23162	South
Massachusetts	2004	NA	9825	Northeast
Michigan	2004	NA	48351	Midwest
Minnesota	2004	NA	7676	Midwest
Mississippi	2004	NA	11615	South
Missouri	2004	NA	30682	Midwest
Montana	2004	NA	1808	West
Nebraska	2004	NA	4137	Midwest
Nevada	2004	NA	11033	West
New Hampshire	2004	NA	2443	Northeast
New Jersey	2004	NA	22925	Northeast
New Mexico	2004	NA	3717	West
New York	2004	NA	64024	Northeast
North Carolina	2004	NA	35332	South
North Dakota	2004	NA	1095	Midwest
Ohio	2004	NA	42221	Midwest
Oklahoma	2004	NA	16716	South
Oregon	2004	NA	12652	West
Pennsylvania	2004	NA	40140	Northeast
Rhode Island	2004	NA	3169	Northeast
South Carolina	2004	NA	22644	South
South Dakota	2004	NA	3047	Midwest
Tennessee	2004	NA	14226	South
Texas	2004	NA	140014	South
Utah	2004	NA	4720	West
Vermont	2004	NA	1529	Northeast
Virginia	2004	NA	29504	South
Washington	2004	NA	16176	West
West Virginia	2004	NA	3990	South
Wisconsin	2004	NA	22073	Midwest
Wyoming	2004	NA	1209	West
Alabama	2005	NA	23995	South
Alaska	2005	NA	3433	West
Arizona	2005	NA	28545	West
Arkansas	2005	NA	12455	South
California	2005	NA	165234	West
Colorado	2005	NA	17024	West
Connecticut	2005	NA	17928	Northeast
Delaware	2005	NA	6788	South
Florida	2005	NA	80298	South
Georgia	2005	NA	43971	South
Hawaii	2005	NA	3837	West
Idaho	2005	NA	4653	West
Illinois	2005	NA	44919	Midwest
Indiana	2005	NA	22645	Midwest
Iowa	2005	NA	8737	Midwest
Kansas	2005	NA	9090	Midwest
Kentucky	2005	NA	12680	South
Louisiana	2005	NA	16419	South
Maine	2005	NA	1950	Northeast
Maryland	2005	NA	22424	South
Massachusetts	2005	NA	10348	Northeast
Michigan	2005	NA	49493	Midwest
Minnesota	2005	NA	7958	Midwest
Mississippi	2005	NA	11310	South
Missouri	2005	NA	30415	Midwest
Montana	2005	NA	1927	West
Nebraska	2005	NA	4405	Midwest
Nevada	2005	NA	11662	West
New Hampshire	2005	NA	2423	Northeast
New Jersey	2005	NA	23019	Northeast
New Mexico	2005	NA	3728	West
New York	2005	NA	63032	Northeast
North Carolina	2005	NA	36436	South
North Dakota	2005	NA	1271	Midwest
Ohio	2005	NA	43114	Midwest
Oklahoma	2005	NA	16999	South
Oregon	2005	NA	12887	West
Pennsylvania	2005	NA	41438	Northeast
Rhode Island	2005	NA	3414	Northeast
South Carolina	2005	NA	22442	South
South Dakota	2005	NA	3336	Midwest
Tennessee	2005	NA	14108	South
Texas	2005	NA	139564	South
Utah	2005	NA	5058	West
Vermont	2005	NA	1621	Northeast
Virginia	2005	NA	29153	South
Washington	2005	NA	15891	West
West Virginia	2005	NA	4036	South
Wisconsin	2005	NA	21921	Midwest
Wyoming	2005	NA	1250	West
Alabama	2006	NA	24094	South
Alaska	2006	NA	3371	West
Arizona	2006	NA	30539	West
Arkansas	2006	NA	12854	South
California	2006	NA	169454	West
Colorado	2006	NA	17196	West
Connecticut	2006	NA	18902	Northeast
Delaware	2006	NA	7021	South
Florida	2006	NA	84027	South
Georgia	2006	NA	47717	South
Hawaii	2006	NA	3595	West
Idaho	2006	NA	4740	West
Illinois	2006	NA	45106	Midwest
Indiana	2006	NA	23611	Midwest
Iowa	2006	NA	8838	Midwest
Kansas	2006	NA	8833	Midwest
Kentucky	2006	NA	13082	South
Louisiana	2006	NA	17749	South
Maine	2006	NA	2064	Northeast
Maryland	2006	NA	22541	South
Massachusetts	2006	NA	10773	Northeast
Michigan	2006	NA	51515	Midwest
Minnesota	2006	NA	7835	Midwest
Mississippi	2006	NA	11524	South
Missouri	2006	NA	30116	Midwest
Montana	2006	NA	1753	West
Nebraska	2006	NA	4399	Midwest
Nevada	2006	NA	12754	West
New Hampshire	2006	NA	2676	Northeast
New Jersey	2006	NA	22952	Northeast
New Mexico	2006	NA	3709	West
New York	2006	NA	63538	Northeast
North Carolina	2006	NA	37531	South
North Dakota	2006	NA	1337	Midwest
Ohio	2006	NA	46402	Midwest
Oklahoma	2006	NA	17165	South
Oregon	2006	NA	13191	West
Pennsylvania	2006	NA	43009	Northeast
Rhode Island	2006	NA	3713	Northeast
South Carolina	2006	NA	22917	South
South Dakota	2006	NA	3304	Midwest
Tennessee	2006	NA	14186	South
Texas	2006	NA	139883	South
Utah	2006	NA	5031	West
Vermont	2006	NA	1691	Northeast
Virginia	2006	NA	29274	South
Washington	2006	NA	15873	West
West Virginia	2006	NA	4367	South
Wisconsin	2006	NA	22561	Midwest
Wyoming	2006	NA	1252	West
Alabama	2007	NA	24898	South
Alaska	2007	NA	3627	West
Arizona	2007	NA	29910	West
Arkansas	2007	NA	13275	South
California	2007	NA	168412	West
Colorado	2007	NA	17788	West
Connecticut	2007	NA	19438	Northeast
Delaware	2007	NA	7110	South
Florida	2007	NA	86418	South
Georgia	2007	NA	49282	South
Hawaii	2007	NA	3328	West
Idaho	2007	NA	5086	West
Illinois	2007	NA	45215	Midwest
Indiana	2007	NA	23454	Midwest
Iowa	2007	NA	8692	Midwest
Kansas	2007	NA	8721	Midwest
Kentucky	2007	NA	12960	South
Louisiana	2007	NA	17457	South
Maine	2007	NA	2106	Northeast
Maryland	2007	NA	23033	South
Massachusetts	2007	NA	11071	Northeast
Michigan	2007	NA	50233	Midwest
Minnesota	2007	NA	8009	Midwest
Mississippi	2007	NA	12684	South
Missouri	2007	NA	29823	Midwest
Montana	2007	NA	1585	West
Nebraska	2007	NA	4402	Midwest
Nevada	2007	NA	13311	West
New Hampshire	2007	NA	2759	Northeast
New Jersey	2007	NA	22668	Northeast
New Mexico	2007	NA	3709	West
New York	2007	NA	62738	Northeast
North Carolina	2007	NA	38027	South
North Dakota	2007	NA	1392	Midwest
Ohio	2007	NA	47756	Midwest
Oklahoma	2007	NA	17861	South
Oregon	2007	NA	13373	West
Pennsylvania	2007	NA	44508	Northeast
Rhode Island	2007	NA	3745	Northeast
South Carolina	2007	NA	23569	South
South Dakota	2007	NA	3255	Midwest
Tennessee	2007	NA	14147	South
Texas	2007	NA	139705	South
Utah	2007	NA	5165	West
Vermont	2007	NA	1390	Northeast
Virginia	2007	NA	31442	South
Washington	2007	NA	15708	West
West Virginia	2007	NA	4907	South
Wisconsin	2007	NA	22816	Midwest
Wyoming	2007	NA	1297	West
Alabama	2008	NA	25262	South
Alaska	2008	NA	3547	West
Arizona	2008	NA	31086	West
Arkansas	2008	NA	13135	South
California	2008	NA	168066	West
Colorado	2008	NA	17937	West
Connecticut	2008	NA	18978	Northeast
Delaware	2008	NA	6944	South
Florida	2008	NA	90720	South
Georgia	2008	NA	47581	South
Hawaii	2008	NA	3347	West
Idaho	2008	NA	4919	West
Illinois	2008	NA	45474	Midwest
Indiana	2008	NA	23750	Midwest
Iowa	2008	NA	8723	Midwest
Kansas	2008	NA	8556	Midwest
Kentucky	2008	NA	13051	South
Louisiana	2008	NA	17929	South
Maine	2008	NA	2047	Northeast
Maryland	2008	NA	22955	South
Massachusetts	2008	NA	11174	Northeast
Michigan	2008	NA	48738	Midwest
Minnesota	2008	NA	8419	Midwest
Mississippi	2008	NA	12399	South
Missouri	2008	NA	30137	Midwest
Montana	2008	NA	1598	West
Nebraska	2008	NA	4470	Midwest
Nevada	2008	NA	12877	West
New Hampshire	2008	NA	2854	Northeast
New Jersey	2008	NA	22194	Northeast
New Mexico	2008	NA	3386	West
New York	2008	NA	60198	Northeast
North Carolina	2008	NA	39740	South
North Dakota	2008	NA	1379	Midwest
Ohio	2008	NA	48751	Midwest
Oklahoma	2008	NA	17965	South
Oregon	2008	NA	13541	West
Pennsylvania	2008	NA	47917	Northeast
Rhode Island	2008	NA	3739	Northeast
South Carolina	2008	NA	23673	South
South Dakota	2008	NA	3337	Midwest
Tennessee	2008	NA	14224	South
Texas	2008	NA	139196	South
Utah	2008	NA	5132	West
Vermont	2008	NA	1390	Northeast
Virginia	2008	NA	31050	South
Washington	2008	NA	16325	West
West Virginia	2008	NA	4896	South
Wisconsin	2008	NA	22236	Midwest
Wyoming	2008	NA	1277	West
Alabama	2009	NA	26358	South
Alaska	2009	NA	3846	West
Arizona	2009	NA	31573	West
Arkansas	2009	NA	13338	South
California	2009	NA	166514	West
Colorado	2009	NA	17768	West
Connecticut	2009	NA	18053	Northeast
Delaware	2009	NA	6581	South
Florida	2009	NA	91561	South
Georgia	2009	NA	48409	South
Hawaii	2009	NA	3200	West
Idaho	2009	NA	5118	West
Illinois	2009	NA	45161	Midwest
Indiana	2009	NA	24269	Midwest
Iowa	2009	NA	8914	Midwest
Kansas	2009	NA	8644	Midwest
Kentucky	2009	NA	12493	South
Louisiana	2009	NA	16967	South
Maine	2009	NA	2074	Northeast
Maryland	2009	NA	21962	South
Massachusetts	2009	NA	11156	Northeast
Michigan	2009	NA	45478	Midwest
Minnesota	2009	NA	9309	Midwest
Mississippi	2009	NA	11926	South
Missouri	2009	NA	30519	Midwest
Montana	2009	NA	1651	West
Nebraska	2009	NA	4490	Midwest
Nevada	2009	NA	12570	West
New Hampshire	2009	NA	2915	Northeast
