state	year	state.population	prison.population	region
New York	1981	NA	25916	Northeast
North Carolina	1981	NA	15786	South
North Dakota	1981	NA	300	Midwest
Ohio	1981	NA	14796	Midwest
Oklahoma	1981	NA	4950	South
Oregon	1981	NA	3287	West
Pennsylvania	1981	NA	9426	Northeast
Rhode Island	1981	NA	969	Northeast
South Carolina	1981	NA	7672	South
South Dakota	1981	NA	696	Midwest
Tennessee	1981	NA	7681	South
Texas	1981	NA	31502	South
Utah	1981	NA	1099	West
Vermont	1981	NA	503	Northeast
Virginia	1981	NA	8514	South
Washington	1981	NA	5294	West
West Virginia	1981	NA	1565	South
Wisconsin	1981	NA	4249	Midwest
Wyoming	1981	NA	610	West
Alabama	1982	NA	8120	South
Alaska	1982	NA	1043	West
Arizona	1982	NA	5834	West
Arkansas	1982	NA	3774	South
California	1982	NA	34640	West
Colorado	1982	NA	3037	West
Connecticut	1982	NA	4891	Northeast
Delaware	1982	NA	1745	South
Florida	1982	NA	27565	South
Georgia	1982	NA	14405	South
Hawaii	1982	NA	1344	West
Idaho	1982	NA	1001	West
Illinois	1982	NA	13895	Midwest
Indiana	1982	NA	8827	Midwest
Iowa	1982	NA	2829	Midwest
Kansas	1982	NA	3024	Midwest
Kentucky	1982	NA	3915	South
Louisiana	1982	NA	9436	South
Maine	1982	NA	893	Northeast
Maryland	1982	NA	11550	South
Massachusetts	1982	NA	4376	Northeast
Michigan	1982	NA	14913	Midwest
Minnesota	1982	NA	2197	Midwest
Mississippi	1982	NA	4464	South
Missouri	1982	NA	7422	Midwest
Montana	1982	NA	810	West
Nebraska	1982	NA	1721	Midwest
Nevada	1982	NA	2675	West
New Hampshire	1982	NA	445	Northeast
New Jersey	1982	NA	8171	Northeast
New Mexico	1982	NA	1664	West
New York	1982	NA	28501	Northeast
North Carolina	1982	NA	16660	South
North Dakota	1982	NA	351	Midwest
Ohio	1982	NA	17147	Midwest
Oklahoma	1982	NA	6054	South
Oregon	1982	NA	3867	West
Pennsylvania	1982	NA	10572	Northeast
Rhode Island	1982	NA	1048	Northeast
South Carolina	1982	NA	8560	South
