state	year	state.population	prison.population	state.and.federal.rate	region	sub.region	state.rate
Iowa	1980	2913808	2479	85	Midwest	West North Central	85
Kansas	1980	2363679	2454	105	Midwest	West North Central	104
Kentucky	1980	3660777	3588	98	South	East South Central	98
Louisiana	1980	4205900	7622	211	South	West South Central	181
Maine	1980	1124660	653	60	Northeast	New England	58
Maryland	1980	4216975	7454	183	South	South Atlantic	177
Massachusetts	1980	5737037	3080	55	Northeast	New England	54
Michigan	1980	9262078	15124	163	Midwest	East North Central	163
Minnesota	1980	4075970	1884	49	Midwest	West North Central	46
Mississippi	1980	2520638	2745	150	South	East South Central	109
Missouri	1980	4916686	5726	116	Midwest	West North Central	116
Montana	1980	786690	698	94	West	Mountain	89
Nebraska	1980	1569825	1430	89	Midwest	West North Central	91
Nevada	1980	800493	1833	227	West	Mountain	229
New Hampshire	1980	920610	313	35	Northeast	New England	34
New Jersey	1980	7364823	5881	75	Northeast	Mid Atlantic	80
New Mexico	1980	1302894	976	92	West	Mountain	75
New York	1980	17558072	21942	123	Northeast	Mid Atlantic	125
North Carolina	1980	5881766	15615	245	South	South Atlantic	265
North Dakota	1980	652717	332	28	Midwest	West North Central	51
Ohio	1980	10797630	13138	125	Midwest	East North Central	122
Oklahoma	1980	3025290	4544	158	South	West South Central	150
Oregon	1980	2633105	3218	120	West	Pacific	122
Pennsylvania	1980	11863895	8243	68	Northeast	Mid Atlantic	69
Rhode Island	1980	947154	803	63	Northeast	New England	85
South Carolina	1980	3121820	7089	237	South	South Atlantic	227
South Dakota	1980	690768	651	88	Midwest	West North Central	94
Tennessee	1980	4591120	6851	153	South	East South Central	149
Texas	1980	14229191	29892	208	South	West South Central	210
Utah	1980	1461037	965	63	West	Mountain	66
Vermont	1980	511456	468	67	Northeast	New England	92
Virginia	1980	5346818	8357	160	South	South Atlantic	156
Washington	1980	4132156	4342	106	West	Pacific	105
West Virginia	1980	1949644	1257	64	South	South Atlantic	64
Wisconsin	1980	4705767	3788	84	Midwest	East North Central	80
Wyoming	1980	469557	490	113	West	Mountain	104
Alabama	1981	NA	6185	184	South	East South Central	NA
Alaska	1981	NA	839	170	West	Pacific	NA
Arizona	1981	NA	4807	185	West	Mountain	NA
Arkansas	1981	NA	3245	145	South	West South Central	NA
California	1981	NA	29202	115	West	Pacific	NA
Colorado	1981	NA	2745	93	West	Mountain	NA
Connecticut	1981	NA	4531	107	Northeast	New England	NA
Delaware	1981	NA	1388	209	South	South Atlantic	NA
Florida	1981	NA	23277	228	South	South Atlantic	NA
Georgia	1981	NA	12444	222	South	South Atlantic	NA
Hawaii	1981	NA	1032	77	West	Pacific	NA
Idaho	1981	NA	924	99	West	Mountain	NA
Illinois	1981	NA	13994	122	Midwest	East North Central	NA
Indiana	1981	NA	8054	138	Midwest	East North Central	NA
Iowa	1981	NA	2670	92	Midwest	West North Central	NA
Kansas	1981	NA	2815	116	Midwest	West North Central	NA
Kentucky	1981	NA	3993	109	South	East South Central	NA
Louisiana	1981	NA	8577	220	South	West South Central	NA
Maine	1981	NA	802	71	Northeast	New England	NA
Maryland	1981	NA	9264	209	South	South Atlantic	NA
Massachusetts	1981	NA	3911	66	Northeast	New England	NA
Michigan	1981	NA	15157	165	Midwest	East North Central	NA
Minnesota	1981	NA	1909	48	Midwest	West North Central	NA
Mississippi	1981	NA	3477	177	South	East South Central	NA
Missouri	1981	NA	6489	132	Midwest	West North Central	NA
Montana	1981	NA	737	104	West	Mountain	NA
Nebraska	1981	NA	1545	94	Midwest	West North Central	NA
Nevada	1981	NA	2141	250	West	Mountain	NA
New Hampshire	1981	NA	364	42	Northeast	New England	NA
New Jersey	1981	NA	6996	93	Northeast	Mid Atlantic	NA
New Mexico	1981	NA	1443	101	West	Mountain	NA
New York	1981	NA	25916	145	Northeast	Mid Atlantic	NA
North Carolina	1981	NA	15786	249	South	South Atlantic	NA
North Dakota	1981	NA	300	33	Midwest	West North Central	NA
Ohio	1981	NA	14796	139	Midwest	East North Central	NA
Oklahoma	1981	NA	4950	171	South	West South Central	NA
Oregon	1981	NA	3287	123	West	Pacific	NA
Pennsylvania	1981	NA	9426	78	Northeast	Mid Atlantic	NA
Rhode Island	1981	NA	969	72	Northeast	New England	NA
South Carolina	1981	NA	7672	252	South	South Atlantic	NA
South Dakota	1981	NA	696	96	Midwest	West North Central	NA
Tennessee	1981	NA	7681	171	South	East South Central	NA
Texas	1981	NA	31502	214	South	West South Central	NA
Utah	1981	NA	1099	74	West	Mountain	NA
Vermont	1981	NA	503	77	Northeast	New England	NA
Virginia	1981	NA	8514	166	South	South Atlantic	NA
Washington	1981	NA	5294	126	West	Pacific	NA
West Virginia	1981	NA	1565	80	South	South Atlantic	NA
Wisconsin	1981	NA	4249	93	Midwest	East North Central	NA
Wyoming	1981	NA	610	113	West	Mountain	NA
Alabama	1982	NA	8120	219	South	East South Central	NA
Alaska	1982	NA	1043	194	West	Pacific	NA
Arizona	1982	NA	5834	209	West	Mountain	NA
Arkansas	1982	NA	3774	171	South	West South Central	NA
California	1982	NA	34640	135	West	Pacific	NA
Colorado	1982	NA	3037	99	West	Mountain	NA
Connecticut	1982	NA	4891	100	Northeast	New England	NA
Delaware	1982	NA	1745	253	South	South Atlantic	NA
Florida	1982	NA	27565	259	South	South Atlantic	NA
Georgia	1982	NA	14405	248	South	South Atlantic	NA
Hawaii	1982	NA	1344	91	West	Pacific	NA
Idaho	1982	NA	1001	107	West	Mountain	NA
Illinois	1982	NA	13895	122	Midwest	East North Central	NA
Indiana	1982	NA	8827	152	Midwest	East North Central	NA
Iowa	1982	NA	2829	98	Midwest	West North Central	NA
Kansas	1982	NA	3024	128	Midwest	West North Central	NA
Kentucky	1982	NA	3915	109	South	East South Central	NA
Louisiana	1982	NA	9436	251	South	West South Central	NA
Maine	1982	NA	893	78	Northeast	New England	NA
Maryland	1982	NA	11550	258	South	South Atlantic	NA
Massachusetts	1982	NA	4376	73	Northeast	New England	NA
Michigan	1982	NA	14913	164	Midwest	East North Central	NA
Minnesota	1982	NA	2197	50	Midwest	West North Central	NA
Mississippi	1982	NA	4464	210	South	East South Central	NA
Missouri	1982	NA	7422	151	Midwest	West North Central	NA
Montana	1982	NA	810	114	West	Mountain	NA
Nebraska	1982	NA	1721	100	Midwest	West North Central	NA
Nevada	1982	NA	2675	312	West	Mountain	NA
New Hampshire	1982	NA	445	47	Northeast	New England	NA
New Jersey	1982	NA	8171	108	Northeast	Mid Atlantic	NA
New Mexico	1982	NA	1664	106	West	Mountain	NA
New York	1982	NA	28501	159	Northeast	Mid Atlantic	NA
North Carolina	1982	NA	16660	255	South	South Atlantic	NA
North Dakota	1982	NA	351	41	Midwest	West North Central	NA
Ohio	1982	NA	17147	161	Midwest	East North Central	NA
Oklahoma	1982	NA	6054	203	South	West South Central	NA
Oregon	1982	NA	3867	146	West	Pacific	NA
Pennsylvania	1982	NA	10572	88	Northeast	Mid Atlantic	NA
Rhode Island	1982	NA	1048	82	Northeast	New England	NA
South Carolina	1982	NA	8560	269	South	South Atlantic	NA
South Dakota	1982	NA	794	109	Midwest	West North Central	NA
Tennessee	1982	NA	7683	169	South	East South Central	NA
Texas	1982	NA	36149	236	South	West South Central	NA
Utah	1982	NA	1169	77	West	Mountain	NA
Vermont	1982	NA	579	84	Northeast	New England	NA
Virginia	1982	NA	9229	177	South	South Atlantic	NA
Washington	1982	NA	5861	146	West	Pacific	NA
West Virginia	1982	NA	1547	79	South	South Atlantic	NA
Wisconsin	1982	NA	4441	100	Midwest	East North Central	NA
Wyoming	1982	NA	684	139	West	Mountain	NA
Alabama	1983	NA	8855	245	South	East South Central	NA
Alaska	1983	NA	1350	219	West	Pacific	NA
Arizona	1983	NA	6889	227	West	Mountain	NA
Arkansas	1983	NA	4128	184	South	West South Central	NA
California	1983	NA	39373	150	West	Pacific	NA
Colorado	1983	NA	3242	104	West	Mountain	NA
Connecticut	1983	NA	5382	113	Northeast	New England	NA
Delaware	1983	NA	1916	261	South	South Atlantic	NA
Florida	1983	NA	26229	236	South	South Atlantic	NA
Georgia	1983	NA	15358	261	South	South Atlantic	NA
Hawaii	1983	NA	1520	105	West	Pacific	NA
Idaho	1983	NA	1127	121	West	Mountain	NA
Illinois	1983	NA	15437	136	Midwest	East North Central	NA
Indiana	1983	NA	9360	165	Midwest	East North Central	NA
Iowa	1983	NA	2814	98	Midwest	West North Central	NA
Kansas	1983	NA	3623	153	Midwest	West North Central	NA
Kentucky	1983	NA	4641	129	South	East South Central	NA
Louisiana	1983	NA	10516	291	South	West South Central	NA
Maine	1983	NA	947	75	Northeast	New England	NA
Maryland	1983	NA	12485	278	South	South Atlantic	NA
Massachusetts	1983	NA	4532	75	Northeast	New England	NA
Michigan	1983	NA	14510	160	Midwest	East North Central	NA
Minnesota	1983	NA	2235	51	Midwest	West North Central	NA
Mississippi	1983	NA	4580	213	South	East South Central	NA
Missouri	1983	NA	8026	164	Midwest	West North Central	NA
Montana	1983	NA	783	111	West	Mountain	NA
Nebraska	1983	NA	1690	98	Midwest	West North Central	NA
Nevada	1983	NA	3192	353	West	Mountain	NA
New Hampshire	1983	NA	459	50	Northeast	New England	NA
New Jersey	1983	NA	9142	123	Northeast	Mid Atlantic	NA
New Mexico	1983	NA	1936	122	West	Mountain	NA
New York	1983	NA	30924	173	Northeast	Mid Atlantic	NA
North Carolina	1983	NA	15485	235	South	South Atlantic	NA
North Dakota	1983	NA	422	52	Midwest	West North Central	NA
Ohio	1983	NA	17766	168	Midwest	East North Central	NA
Oklahoma	1983	NA	7025	227	South	West South Central	NA
Oregon	1983	NA	3318	149	West	Pacific	NA
Pennsylvania	1983	NA	11798	99	Northeast	Mid Atlantic	NA
Rhode Island	1983	NA	1150	92	Northeast	New England	NA
South Carolina	1983	NA	8716	281	South	South Atlantic	NA
South Dakota	1983	NA	830	117	Midwest	West North Central	NA
Tennessee	1983	NA	7876	176	South	East South Central	NA
Texas	1983	NA	35259	224	South	West South Central	NA
Utah	1983	NA	1234	79	West	Mountain	NA
Vermont	1983	NA	535	72	Northeast	New England	NA
Virginia	1983	NA	9222	177	South	South Atlantic	NA
Washington	1983	NA	6198	155	West	Pacific	NA
West Virginia	1983	NA	1667	83	South	South Atlantic	NA
Wisconsin	1983	NA	4226	103	Midwest	East North Central	NA
Wyoming	1983	NA	681	141	West	Mountain	NA
Alabama	1984	NA	10025	259	South	East South Central	NA
Alaska	1984	NA	1698	252	West	Pacific	NA
Arizona	1984	NA	7845	249	West	Mountain	NA
Arkansas	1984	NA	4346	193	South	West South Central	NA
California	1984	NA	43197	161	West	Pacific	NA
Colorado	1984	NA	3230	102	West	Mountain	NA
Connecticut	1984	NA	5611	118	Northeast	New England	NA
Delaware	1984	NA	1893	253	South	South Atlantic	NA
Florida	1984	NA	26906	242	South	South Atlantic	NA
Georgia	1984	NA	15404	250	South	South Atlantic	NA
Hawaii	1984	NA	1734	129	West	Pacific	NA
Idaho	1984	NA	1186	126	West	Mountain	NA
Illinois	1984	NA	16912	150	Midwest	East North Central	NA
Indiana	1984	NA	9392	166	Midwest	East North Central	NA
Iowa	1984	NA	2836	99	Midwest	West North Central	NA
Kansas	1984	NA	4134	175	Midwest	West North Central	NA
Kentucky	1984	NA	4710	130	South	East South Central	NA
Louisiana	1984	NA	10685	310	South	West South Central	NA
Maine	1984	NA	982	73	Northeast	New England	NA
Maryland	1984	NA	12991	285	South	South Atlantic	NA
Massachusetts	1984	NA	4974	81	Northeast	New England	NA
