state	year	state.population	prison.population	state.and.federal.rate	region	sub.region	state.rate
West Virginia	1987	NA	1477	78	South	South Atlantic	NA
Wisconsin	1987	NA	5847	128	Midwest	East North Central	NA
Wyoming	1987	NA	916	192	West	Mountain	NA
Alabama	1988	NA	12365	307	South	East South Central	NA
Alaska	1988	NA	2307	344	West	Pacific	NA
Arizona	1988	NA	12095	328	West	Mountain	NA
Arkansas	1988	NA	5455	236	South	West South Central	NA
California	1988	NA	76171	259	West	Pacific	NA
Colorado	1988	NA	5646	177	West	Mountain	NA
Connecticut	1988	NA	7516	144	Northeast	New England	NA
Delaware	1988	NA	3045	341	South	South Atlantic	NA
Florida	1988	NA	34327	282	South	South Atlantic	NA
Georgia	1988	NA	18787	285	South	South Atlantic	NA
Hawaii	1988	NA	2155	140	West	Pacific	NA
Idaho	1988	NA	1493	160	West	Mountain	NA
Illinois	1988	NA	21081	185	Midwest	East North Central	NA
Indiana	1988	NA	11444	205	Midwest	East North Central	NA
Iowa	1988	NA	3034	110	Midwest	West North Central	NA
Kansas	1988	NA	5932	236	Midwest	West North Central	NA
Kentucky	1988	NA	6187	193	South	East South Central	NA
Louisiana	1988	NA	12110	379	South	West South Central	NA
Maine	1988	NA	1285	101	Northeast	New England	NA
Maryland	1988	NA	14084	291	South	South Atlantic	NA
Massachusetts	1988	NA	6862	108	Northeast	New England	NA
Michigan	1988	NA	27612	300	Midwest	East North Central	NA
Minnesota	1988	NA	2942	65	Midwest	West North Central	NA
Mississippi	1988	NA	6348	281	South	East South Central	NA
Missouri	1988	NA	12176	240	Midwest	West North Central	NA
Montana	1988	NA	1249	159	West	Mountain	NA
Nebraska	1988	NA	2161	131	Midwest	West North Central	NA
Nevada	1988	NA	4902	454	West	Mountain	NA
New Hampshire	1988	NA	983	94	Northeast	New England	NA
New Jersey	1988	NA	14652	220	Northeast	Mid Atlantic	NA
New Mexico	1988	NA	2745	183	West	Mountain	NA
New York	1988	NA	44560	248	Northeast	Mid Atlantic	NA
North Carolina	1988	NA	17292	251	South	South Atlantic	NA
North Dakota	1988	NA	525	63	Midwest	West North Central	NA
Ohio	1988	NA	26113	245	Midwest	East North Central	NA
Oklahoma	1988	NA	8921	330	South	West South Central	NA
Oregon	1988	NA	4703	219	West	Pacific	NA
Pennsylvania	1988	NA	17929	151	Northeast	Mid Atlantic	NA
Rhode Island	1988	NA	1918	118	Northeast	New England	NA
South Carolina	1988	NA	13002	378	South	South Atlantic	NA
South Dakota	1988	NA	1030	146	Midwest	West North Central	NA
Tennessee	1988	NA	7354	160	South	East South Central	NA
Texas	1988	NA	40437	243	South	West South Central	NA
Utah	1988	NA	2057	115	West	Mountain	NA
Vermont	1988	NA	770	101	Northeast	New England	NA
Virginia	1988	NA	12787	231	South	South Atlantic	NA
Washington	1988	NA	7089	125	West	Pacific	NA
West Virginia	1988	NA	1482	80	South	South Atlantic	NA
Wisconsin	1988	NA	6159	131	Midwest	East North Central	NA
Wyoming	1988	NA	945	203	West	Mountain	NA
Alabama	1989	NA	13619	337	South	East South Central	NA
Alaska	1989	NA	2484	349	West	Pacific	NA
Arizona	1989	NA	13251	351	West	Mountain	NA
Arkansas	1989	NA	5777	279	South	West South Central	NA
California	1989	NA	87297	289	West	Pacific	NA
Colorado	1989	NA	6431	211	West	Mountain	NA
Connecticut	1989	NA	8777	192	Northeast	New England	NA
Delaware	1989	NA	3073	347	South	South Atlantic	NA
Florida	1989	NA	39566	316	South	South Atlantic	NA
Georgia	1989	NA	20885	306	South	South Atlantic	NA
Hawaii	1989	NA	2291	161	West	Pacific	NA
Idaho	1989	NA	1641	186	West	Mountain	NA
Illinois	1989	NA	24712	217	Midwest	East North Central	NA
Indiana	1989	NA	12353	221	Midwest	East North Central	NA
Iowa	1989	NA	3584	129	Midwest	West North Central	NA
Kansas	1989	NA	5628	227	Midwest	West North Central	NA
Kentucky	1989	NA	6878	225	South	East South Central	NA
Louisiana	1989	NA	13119	406	South	West South Central	NA
Maine	1989	NA	1442	117	Northeast	New England	NA
Maryland	1989	NA	16248	325	South	South Atlantic	NA
Massachusetts	1989	NA	7610	121	Northeast	New England	NA
Michigan	1989	NA	31639	342	Midwest	East North Central	NA
Minnesota	1989	NA	3140	72	Midwest	West North Central	NA
Mississippi	1989	NA	6752	299	South	East South Central	NA
Missouri	1989	NA	13921	273	Midwest	West North Central	NA
Montana	1989	NA	1308	166	West	Mountain	NA
Nebraska	1989	NA	2419	145	Midwest	West North Central	NA
Nevada	1989	NA	5374	449	West	Mountain	NA
New Hampshire	1989	NA	1135	106	Northeast	New England	NA
New Jersey	1989	NA	16017	252	Northeast	Mid Atlantic	NA
New Mexico	1989	NA	3001	207	West	Mountain	NA
New York	1989	NA	51232	285	Northeast	Mid Atlantic	NA
North Carolina	1989	NA	17665	253	South	South Atlantic	NA
North Dakota	1989	NA	511	63	Midwest	West North Central	NA
Ohio	1989	NA	30300	282	Midwest	East North Central	NA
Oklahoma	1989	NA	9818	368	South	West South Central	NA
Oregon	1989	NA	5714	221	West	Pacific	NA
Pennsylvania	1989	NA	19692	172	Northeast	Mid Atlantic	NA
Rhode Island	1989	NA	2476	147	Northeast	New England	NA
South Carolina	1989	NA	14909	428	South	South Atlantic	NA
South Dakota	1989	NA	1277	180	Midwest	West North Central	NA
Tennessee	1989	NA	7769	219	South	East South Central	NA
Texas	1989	NA	44022	262	South	West South Central	NA
Utah	1989	NA	2433	139	West	Mountain	NA
Vermont	1989	NA	880	112	Northeast	New England	NA
Virginia	1989	NA	14415	266	South	South Atlantic	NA
Washington	1989	NA	7024	146	West	Pacific	NA
West Virginia	1989	NA	1573	85	South	South Atlantic	NA
Wisconsin	1989	NA	6669	140	Midwest	East North Central	NA
Wyoming	1989	NA	1026	224	West	Mountain	NA
Alabama	1990	4040587	15351	379	South	East South Central	380
Alaska	1990	550043	2362	335	West	Pacific	429
Arizona	1990	3665228	14261	374	West	Mountain	389
Arkansas	1990	2350725	6569	309	South	West South Central	279
California	1990	29760021	97309	314	West	Pacific	327
Colorado	1990	3294394	6783	232	West	Mountain	206
Connecticut	1990	3287116	10101	236	Northeast	New England	307
Delaware	1990	666168	3058	335	South	South Atlantic	459
Florida	1990	12937926	43992	341	South	South Atlantic	340
Georgia	1990	6478216	22411	333	South	South Atlantic	346
Hawaii	1990	1108229	2390	153	West	Pacific	216
Idaho	1990	1006749	1848	194	West	Mountain	184
Illinois	1990	11430602	27516	240	Midwest	East North Central	241
Indiana	1990	5544159	12736	227	Midwest	East North Central	230
Iowa	1990	2776755	3967	143	Midwest	West North Central	143
Kansas	1990	2477574	5790	233	Midwest	West North Central	234
Kentucky	1990	3685296	8330	244	South	East South Central	226
Louisiana	1990	4219973	14106	441	South	West South Central	334
Maine	1990	1227928	1541	120	Northeast	New England	125
Maryland	1990	4781468	17567	349	South	South Atlantic	367
Massachusetts	1990	6016425	8345	133	Northeast	New England	139
Michigan	1990	9295297	34267	368	Midwest	East North Central	369
Minnesota	1990	4375099	3215	72	Midwest	West North Central	73
Mississippi	1990	2573216	7600	313	South	East South Central	295
Missouri	1990	5117073	14943	291	Midwest	West North Central	292
Montana	1990	799065	1398	178	West	Mountain	175
Nebraska	1990	1578385	2446	145	Midwest	West North Central	155
Nevada	1990	1201833	5641	436	West	Mountain	469
New Hampshire	1990	1109252	1357	121	Northeast	New England	122
New Jersey	1990	7730188	17746	272	Northeast	Mid Atlantic	230
New Mexico	1990	1515069	3379	202	West	Mountain	223
New York	1990	17990455	54895	305	Northeast	Mid Atlantic	305
North Carolina	1990	6628637	18619	267	South	South Atlantic	281
North Dakota	1990	638800	542	68	Midwest	West North Central	85
Ohio	1990	10847115	31501	293	Midwest	East North Central	290
Oklahoma	1990	3145585	10502	390	South	West South Central	334
Oregon	1990	2842321	6236	227	West	Pacific	219
Pennsylvania	1990	11881643	21903	187	Northeast	Mid Atlantic	184
Rhode Island	1990	1003464	2377	158	Northeast	New England	237
South Carolina	1990	3486703	15621	463	South	South Atlantic	448
South Dakota	1990	696004	1360	192	Midwest	West North Central	195
Tennessee	1990	4877185	8519	212	South	East South Central	175
Texas	1990	16986510	50042	293	South	West South Central	295
Utah	1990	1722850	2543	143	West	Mountain	148
Vermont	1990	562758	992	121	Northeast	New England	176
Virginia	1990	6187358	14624	280	South	South Atlantic	236
Washington	1990	4866692	7384	163	West	Pacific	152
West Virginia	1990	1793477	1565	87	South	South Atlantic	87
Wisconsin	1990	4891769	7247	152	Midwest	East North Central	148
Wyoming	1990	453588	1110	245	West	Mountain	245
Alabama	1991	NA	16443	400	South	East South Central	NA
Alaska	1991	NA	2483	323	West	Pacific	NA
Arizona	1991	NA	15415	392	West	Mountain	NA
Arkansas	1991	NA	7479	324	South	West South Central	NA
California	1991	NA	101808	323	West	Pacific	NA
Colorado	1991	NA	8311	248	West	Mountain	NA
Connecticut	1991	NA	10573	260	Northeast	New England	NA
Delaware	1991	NA	3308	362	South	South Atlantic	NA
Florida	1991	NA	46449	348	South	South Atlantic	NA
Georgia	1991	NA	23743	346	South	South Atlantic	NA
Hawaii	1991	NA	2444	155	West	Pacific	NA
Idaho	1991	NA	2059	206	West	Mountain	NA
Illinois	1991	NA	29115	252	Midwest	East North Central	NA
Indiana	1991	NA	13008	242	Midwest	East North Central	NA
Iowa	1991	NA	4145	148	Midwest	West North Central	NA
Kansas	1991	NA	5911	236	Midwest	West North Central	NA
Kentucky	1991	NA	8933	263	South	East South Central	NA
Louisiana	1991	NA	14975	470	South	West South Central	NA
Maine	1991	NA	1564	126	Northeast	New England	NA
Maryland	1991	NA	18983	366	South	South Atlantic	NA
Massachusetts	1991	NA	9415	147	Northeast	New England	NA
Michigan	1991	NA	36423	387	Midwest	East North Central	NA
Minnesota	1991	NA	3516	78	Midwest	West North Central	NA
Mississippi	1991	NA	8149	334	South	East South Central	NA
Missouri	1991	NA	15897	307	Midwest	West North Central	NA
Montana	1991	NA	1441	183	West	Mountain	NA
Nebraska	1991	NA	2591	151	Midwest	West North Central	NA
Nevada	1991	NA	5842	449	West	Mountain	NA
New Hampshire	1991	NA	1518	138	Northeast	New England	NA
New Jersey	1991	NA	19072	301	Northeast	Mid Atlantic	NA
New Mexico	1991	NA	3137	194	West	Mountain	NA
New York	1991	NA	57862	319	Northeast	Mid Atlantic	NA
North Carolina	1991	NA	19116	269	South	South Atlantic	NA
North Dakota	1991	NA	551	69	Midwest	West North Central	NA
Ohio	1991	NA	35446	327	Midwest	East North Central	NA
Oklahoma	1991	NA	11107	420	South	West South Central	NA
Oregon	1991	NA	6603	190	West	Pacific	NA
Pennsylvania	1991	NA	23405	195	Northeast	Mid Atlantic	NA
Rhode Island	1991	NA	2783	173	Northeast	New England	NA
South Carolina	1991	NA	16082	482	South	South Atlantic	NA
South Dakota	1991	NA	1391	195	Midwest	West North Central	NA
Tennessee	1991	NA	9456	231	South	East South Central	NA
Texas	1991	NA	51677	297	South	West South Central	NA
Utah	1991	NA	2794	146	West	Mountain	NA
Vermont	1991	NA	1088	129	Northeast	New England	NA
Virginia	1991	NA	16928	312	South	South Atlantic	NA
Washington	1991	NA	9205	182	West	Pacific	NA
West Virginia	1991	NA	1573	84	South	South Atlantic	NA
Wisconsin	1991	NA	7686	157	Midwest	East North Central	NA
Wyoming	1991	NA	1099	239	West	Mountain	NA
Alabama	1992	NA	17151	408	South	East South Central	NA
Alaska	1992	NA	2498	330	West	Pacific	NA
Arizona	1992	NA	16477	405	West	Mountain	NA
Arkansas	1992	NA	7709	339	South	West South Central	NA
California	1992	NA	109496	340	West	Pacific	NA
Colorado	1992	NA	8460	257	West	Mountain	NA
Connecticut	1992	NA	11055	266	Northeast	New England	NA
Delaware	1992	NA	3975	389	South	South Atlantic	NA
Florida	1992	NA	48302	354	South	South Atlantic	NA
Georgia	1992	NA	25290	364	South	South Atlantic	NA
Hawaii	1992	NA	2674	192	West	Pacific	NA
Idaho	1992	NA	2164	211	West	Mountain	NA
Illinois	1992	NA	31640	271	Midwest	East North Central	NA
Indiana	1992	NA	13945	243	Midwest	East North Central	NA
Iowa	1992	NA	4518	160	Midwest	West North Central	NA
Kansas	1992	NA	6033	238	Midwest	West North Central	NA
Kentucky	1992	NA	8720	275	South	East South Central	NA
Louisiana	1992	NA	16233	487	South	West South Central	NA
Maine	1992	NA	1510	120	Northeast	New England	NA
Maryland	1992	NA	19677	382	South	South Atlantic	NA
Massachusetts	1992	NA	10053	160	Northeast	New England	NA
Michigan	1992	NA	39113	413	Midwest	East North Central	NA
Minnesota	1992	NA	3849	85	Midwest	West North Central	NA
Mississippi	1992	NA	7873	332	South	East South Central	NA
Missouri	1992	NA	16189	310	Midwest	West North Central	NA
Montana	1992	NA	1466	187	West	Mountain	NA
Nebraska	1992	NA	2670	151	Midwest	West North Central	NA
Nevada	1992	NA	5978	448	West	Mountain	NA
New Hampshire	1992	NA	1864	159	Northeast	New England	NA
New Jersey	1992	NA	19117	287	Northeast	Mid Atlantic	NA
New Mexico	1992	NA	3290	198	West	Mountain	NA
New York	1992	NA	61736	338	Northeast	Mid Atlantic	NA
North Carolina	1992	NA	20662	289	South	South Atlantic	NA
North Dakota	1992	NA	550	67	Midwest	West North Central	NA
Ohio	1992	NA	37997	348	Midwest	East North Central	NA
Oklahoma	1992	NA	12211	460	South	West South Central	NA
Oregon	1992	NA	6487	175	West	Pacific	NA
Pennsylvania	1992	NA	24990	207	Northeast	Mid Atlantic	NA
Rhode Island	1992	NA	2739	169	Northeast	New England	NA
South Carolina	1992	NA	16462	486	South	South Atlantic	NA
South Dakota	1992	NA	1509	209	Midwest	West North Central	NA
Tennessee	1992	NA	10729	235	South	East South Central	NA
Texas	1992	NA	61178	340	South	West South Central	NA
Utah	1992	NA	2958	146	West	Mountain	NA
Vermont	1992	NA	1211	151	Northeast	New England	NA
Virginia	1992	NA	16934	327	South	South Atlantic	NA
Washington	1992	NA	9981	193	West	Pacific	NA
West Virginia	1992	NA	1674	93	South	South Atlantic	NA
Wisconsin	1992	NA	8191	159	Midwest	East North Central	NA
Wyoming	1992	NA	1064	228	West	Mountain	NA
Alabama	1993	NA	18313	431	South	East South Central	NA
Alaska	1993	NA	2703	451	West	Pacific	NA
Arizona	1993	NA	17811	422	West	Mountain	NA
Arkansas	1993	NA	7702	325	South	West South Central	NA
California	1993	NA	119951	370	West	Pacific	NA
Colorado	1993	NA	8902	262	West	Mountain	NA
Connecticut	1993	NA	13384	318	Northeast	New England	NA
Delaware	1993	NA	4129	394	South	South Atlantic	NA
Florida	1993	NA	53048	380	South	South Atlantic	NA
Georgia	1993	NA	27783	388	South	South Atlantic	NA
Hawaii	1993	NA	2814	199	West	Pacific	NA
Idaho	1993	NA	2500	235	West	Mountain	NA
Illinois	1993	NA	34495	292	Midwest	East North Central	NA
Indiana	1993	NA	14470	250	Midwest	East North Central	NA
Iowa	1993	NA	4898	173	Midwest	West North Central	NA
Kansas	1993	NA	5732	224	Midwest	West North Central	NA
Kentucky	1993	NA	8622	274	South	East South Central	NA
Louisiana	1993	NA	16078	521	South	West South Central	NA
Maine	1993	NA	1437	116	Northeast	New England	NA
Maryland	1993	NA	19992	385	South	South Atlantic	NA
Massachusetts	1993	NA	10229	153	Northeast	New England	NA
Michigan	1993	NA	39318	412	Midwest	East North Central	NA
Minnesota	1993	NA	4060	92	Midwest	West North Central	NA
Mississippi	1993	NA	8326	362	South	East South Central	NA
Missouri	1993	NA	16178	307	Midwest	West North Central	NA
Montana	1993	NA	1541	182	West	Mountain	NA
Nebraska	1993	NA	2483	152	Midwest	West North Central	NA
Nevada	1993	NA	6153	443	West	Mountain	NA
New Hampshire	1993	NA	1899	157	Northeast	New England	NA
New Jersey	1993	NA	20237	300	Northeast	Mid Atlantic	NA
New Mexico	1993	NA	3499	206	West	Mountain	NA
New York	1993	NA	64569	351	Northeast	Mid Atlantic	NA
North Carolina	1993	NA	22098	303	South	South Atlantic	NA
North Dakota	1993	NA	572	70	Midwest	West North Central	NA
Ohio	1993	NA	40253	366	Midwest	East North Central	NA
Oklahoma	1993	NA	12108	505	South	West South Central	NA
Oregon	1993	NA	6544	167	West	Pacific	NA
Pennsylvania	1993	NA	26059	215	Northeast	Mid Atlantic	NA
Rhode Island	1993	NA	2600	169	Northeast	New England	NA
South Carolina	1993	NA	16933	489	South	South Atlantic	NA
South Dakota	1993	NA	1570	215	Midwest	West North Central	NA
Tennessee	1993	NA	11495	250	South	East South Central	NA
Texas	1993	NA	70127	507	South	West South Central	NA
Utah	1993	NA	3046	151	West	Mountain	NA
Vermont	1993	NA	1188	155	Northeast	New England	NA
Virginia	1993	NA	18258	348	South	South Atlantic	NA
Washington	1993	NA	10429	197	West	Pacific	NA
West Virginia	1993	NA	1805	99	South	South Atlantic	NA
Wisconsin	1993	NA	8781	166	Midwest	East North Central	NA
Wyoming	1993	NA	1102	238	West	Mountain	NA
Alabama	1994	NA	19179	448	South	East South Central	NA
Alaska	1994	NA	2745	321	West	Pacific	NA
Arizona	1994	NA	19746	448	West	Mountain	NA
Arkansas	1994	NA	8242	354	South	West South Central	NA
California	1994	NA	125605	386	West	Pacific	NA
Colorado	1994	NA	9177	288	West	Mountain	NA
Connecticut	1994	NA	14246	317	Northeast	New England	NA
Delaware	1994	NA	4451	396	South	South Atlantic	NA
Florida	1994	NA	57168	401	South	South Atlantic	NA
Georgia	1994	NA	33425	454	South	South Atlantic	NA
Hawaii	1994	NA	2909	201	West	Pacific	NA
Idaho	1994	NA	2493	245	West	Mountain	NA
Illinois	1994	NA	36531	307	Midwest	East North Central	NA
Indiana	1994	NA	15014	257	Midwest	East North Central	NA
Iowa	1994	NA	5437	191	Midwest	West North Central	NA
Kansas	1994	NA	6369	247	Midwest	West North Central	NA
Kentucky	1994	NA	9097	288	South	East South Central	NA
Louisiana	1994	NA	15982	553	South	West South Central	NA
Maine	1994	NA	1460	113	Northeast	New England	NA
Maryland	1994	NA	20719	395	South	South Atlantic	NA
Massachusetts	1994	NA	11396	171	Northeast	New England	NA
Michigan	1994	NA	40631	423	Midwest	East North Central	NA
Minnesota	1994	NA	4372	99	Midwest	West North Central	NA
Mississippi	1994	NA	9705	394	South	East South Central	NA
Missouri	1994	NA	17911	336	Midwest	West North Central	NA
Montana	1994	NA	1708	205	West	Mountain	NA
Nebraska	1994	NA	2701	163	Midwest	West North Central	NA
Nevada	1994	NA	6884	466	West	Mountain	NA
New Hampshire	1994	NA	2066	177	Northeast	New England	NA
New Jersey	1994	NA	21219	307	Northeast	Mid Atlantic	NA
New Mexico	1994	NA	3868	210	West	Mountain	NA
New York	1994	NA	66750	362	Northeast	Mid Atlantic	NA
North Carolina	1994	NA	23836	321	South	South Atlantic	NA
North Dakota	1994	NA	612	78	Midwest	West North Central	NA
Ohio	1994	NA	40253	376	Midwest	East North Central	NA
Oklahoma	1994	NA	13386	507	South	West South Central	NA
Oregon	1994	NA	6915	190	West	Pacific	NA
Pennsylvania	1994	NA	28285	233	Northeast	Mid Atlantic	NA
Rhode Island	1994	NA	2937	183	Northeast	New England	NA
South Carolina	1994	NA	17362	490	South	South Atlantic	NA
South Dakota	1994	NA	1734	234	Midwest	West North Central	NA
Tennessee	1994	NA	12572	275	South	East South Central	NA
Texas	1994	NA	97475	637	South	West South Central	NA
Utah	1994	NA	3238	154	West	Mountain	NA
Vermont	1994	NA	1267	168	Northeast	New England	NA
Virginia	1994	NA	21108	406	South	South Atlantic	NA
Washington	1994	NA	10847	202	West	Pacific	NA
West Virginia	1994	NA	1930	128	South	South Atlantic	NA
Wisconsin	1994	NA	10022	185	Midwest	East North Central	NA
Wyoming	1994	NA	1065	253	West	Mountain	NA
Alabama	1995	NA	20549	468	South	East South Central	NA
Alaska	1995	NA	2832	338	West	Pacific	NA
Arizona	1995	NA	21341	458	West	Mountain	NA
Arkansas	1995	NA	8364	336	South	West South Central	NA
California	1995	NA	135133	416	West	Pacific	NA
Colorado	1995	NA	9508	289	West	Mountain	NA
Connecticut	1995	NA	14681	313	Northeast	New England	NA
Delaware	1995	NA	4799	413	South	South Atlantic	NA
Florida	1995	NA	63879	439	South	South Atlantic	NA
Georgia	1995	NA	34266	466	South	South Atlantic	NA
Hawaii	1995	NA	2812	216	West	Pacific	NA
Idaho	1995	NA	3079	283	West	Mountain	NA
Illinois	1995	NA	37658	314	Midwest	East North Central	NA
Indiana	1995	NA	16125	274	Midwest	East North Central	NA
Iowa	1995	NA	5906	206	Midwest	West North Central	NA
Kansas	1995	NA	7055	271	Midwest	West North Central	NA
Kentucky	1995	NA	9928	310	South	East South Central	NA
Louisiana	1995	NA	16976	575	South	West South Central	NA
Maine	1995	NA	1455	107	Northeast	New England	NA
Maryland	1995	NA	21124	403	South	South Atlantic	NA
Massachusetts	1995	NA	10369	170	Northeast	New England	NA
Michigan	1995	NA	41112	425	Midwest	East North Central	NA
Minnesota	1995	NA	4628	104	Midwest	West North Central	NA
Mississippi	1995	NA	10124	450	South	East South Central	NA
Missouri	1995	NA	19151	356	Midwest	West North Central	NA
Montana	1995	NA	1601	228	West	Mountain	NA
Nebraska	1995	NA	3051	181	Midwest	West North Central	NA
Nevada	1995	NA	7599	488	West	Mountain	NA
New Hampshire	1995	NA	2002	174	Northeast	New England	NA
New Jersey	1995	NA	22808	335	Northeast	Mid Atlantic	NA
New Mexico	1995	NA	4209	228	West	Mountain	NA
New York	1995	NA	68486	370	Northeast	Mid Atlantic	NA
North Carolina	1995	NA	27313	380	South	South Atlantic	NA
North Dakota	1995	NA	670	84	Midwest	West North Central	NA
Ohio	1995	NA	44338	399	Midwest	East North Central	NA
Oklahoma	1995	NA	14568	549	South	West South Central	NA
Oregon	1995	NA	7812	205	West	Pacific	NA
Pennsylvania	1995	NA	32402	266	Northeast	Mid Atlantic	NA
Rhode Island	1995	NA	2854	180	Northeast	New England	NA
South Carolina	1995	NA	18864	507	South	South Atlantic	NA
South Dakota	1995	NA	1864	254	Midwest	West North Central	NA
Tennessee	1995	NA	13040	285	South	East South Central	NA
Texas	1995	NA	127766	674	South	West South Central	NA
Utah	1995	NA	3985	171	West	Mountain	NA
Vermont	1995	NA	1245	178	Northeast	New England	NA
Virginia	1995	NA	23890	409	South	South Atlantic	NA
Washington	1995	NA	11679	212	West	Pacific	NA
West Virginia	1995	NA	2378	136	South	South Atlantic	NA
Wisconsin	1995	NA	11199	199	Midwest	East North Central	NA
Wyoming	1995	NA	1250	288	West	Mountain	NA
Alabama	1996	NA	21424	487	South	East South Central	NA
Alaska	1996	NA	2968	384	West	Pacific	NA
Arizona	1996	NA	22493	469	West	Mountain	NA
Arkansas	1996	NA	8675	350	South	West South Central	NA
California	1996	NA	145565	446	West	Pacific	NA
Colorado	1996	NA	10302	317	West	Mountain	NA
Connecticut	1996	NA	15233	341	Northeast	New England	NA
Delaware	1996	NA	5107	421	South	South Atlantic	NA
Florida	1996	NA	63763	429	South	South Atlantic	NA
Georgia	1996	NA	35139	458	South	South Atlantic	NA
Hawaii	1996	NA	3309	245	West	Pacific	NA
Idaho	1996	NA	3257	319	West	Mountain	NA
Illinois	1996	NA	38852	321	Midwest	East North Central	NA
Indiana	1996	NA	15766	284	Midwest	East North Central	NA
Iowa	1996	NA	6342	220	Midwest	West North Central	NA
Kansas	1996	NA	7755	297	Midwest	West North Central	NA
Kentucky	1996	NA	10148	329	South	East South Central	NA
Louisiana	1996	NA	17664	609	South	West South Central	NA
Maine	1996	NA	1476	108	Northeast	New England	NA
Maryland	1996	NA	21729	410	South	South Atlantic	NA
Massachusetts	1996	NA	10803	176	Northeast	New England	NA
Michigan	1996	NA	42349	434	Midwest	East North Central	NA
Minnesota	1996	NA	4804	109	Midwest	West North Central	NA
Mississippi	1996	NA	10030	478	South	East South Central	NA
Missouri	1996	NA	22018	405	Midwest	West North Central	NA
Montana	1996	NA	1590	252	West	Mountain	NA
Nebraska	1996	NA	3216	193	Midwest	West North Central	NA
Nevada	1996	NA	8081	500	West	Mountain	NA
New Hampshire	1996	NA	2037	176	Northeast	New England	NA
New Jersey	1996	NA	23123	337	Northeast	Mid Atlantic	NA
New Mexico	1996	NA	4733	257	West	Mountain	NA
New York	1996	NA	69709	375	Northeast	Mid Atlantic	NA
North Carolina	1996	NA	28756	370	South	South Atlantic	NA
North Dakota	1996	NA	765	100	Midwest	West North Central	NA
Ohio	1996	NA	45968	411	Midwest	East North Central	NA
Oklahoma	1996	NA	15130	587	South	West South Central	NA
Oregon	1996	NA	8457	225	West	Pacific	NA
Pennsylvania	1996	NA	34476	283	Northeast	Mid Atlantic	NA
Rhode Island	1996	NA	3233	199	Northeast	New England	NA
South Carolina	1996	NA	19860	520	South	South Atlantic	NA
South Dakota	1996	NA	2063	278	Midwest	West North Central	NA
Tennessee	1996	NA	13565	288	South	East South Central	NA
Texas	1996	NA	132383	684	South	West South Central	NA
Utah	1996	NA	4560	192	West	Mountain	NA
Vermont	1996	NA	1119	135	Northeast	New England	NA
Virginia	1996	NA	25149	401	South	South Atlantic	NA
Washington	1996	NA	12588	225	West	Pacific	NA
West Virginia	1996	NA	2468	149	South	South Atlantic	NA
Wisconsin	1996	NA	12530	236	Midwest	East North Central	NA
Wyoming	1996	NA	1327	303	West	Mountain	NA
Alabama	1997	NA	21974	496	South	East South Central	NA
Alaska	1997	NA	3204	419	West	Pacific	NA
Arizona	1997	NA	23484	472	West	Mountain	NA
Arkansas	1997	NA	8979	382	South	West South Central	NA
California	1997	NA	155276	470	West	Pacific	NA
Colorado	1997	NA	10566	335	West	Mountain	NA
Connecticut	1997	NA	15558	356	Northeast	New England	NA
Delaware	1997	NA	5432	434	South	South Atlantic	NA
Florida	1997	NA	64626	425	South	South Atlantic	NA
Georgia	1997	NA	36505	466	South	South Atlantic	NA
Hawaii	1997	NA	4078	285	West	Pacific	NA
Idaho	1997	NA	3312	318	West	Mountain	NA
Illinois	1997	NA	40788	335	Midwest	East North Central	NA
Indiana	1997	NA	16511	298	Midwest	East North Central	NA
Iowa	1997	NA	6938	240	Midwest	West North Central	NA
Kansas	1997	NA	7914	300	Midwest	West North Central	NA
Kentucky	1997	NA	10875	369	South	East South Central	NA
Louisiana	1997	NA	18470	662	South	West South Central	NA
Maine	1997	NA	1601	123	Northeast	New England	NA
Maryland	1997	NA	21870	409	South	South Atlantic	NA
Massachusetts	1997	NA	10918	174	Northeast	New England	NA
Michigan	1997	NA	44771	456	Midwest	East North Central	NA
Minnesota	1997	NA	5327	111	Midwest	West North Central	NA
Mississippi	1997	NA	10347	492	South	East South Central	NA
Missouri	1997	NA	23652	432	Midwest	West North Central	NA
Montana	1997	NA	1862	286	West	Mountain	NA
Nebraska	1997	NA	3348	197	Midwest	West North Central	NA
Nevada	1997	NA	8623	512	West	Mountain	NA
New Hampshire	1997	NA	2104	182	Northeast	New England	NA
New Jersey	1997	NA	25497	345	Northeast	Mid Atlantic	NA
New Mexico	1997	NA	3639	251	West	Mountain	NA
New York	1997	NA	69383	370	Northeast	Mid Atlantic	NA
North Carolina	1997	NA	30990	360	South	South Atlantic	NA
North Dakota	1997	NA	823	110	Midwest	West North Central	NA
Ohio	1997	NA	47808	426	Midwest	East North Central	NA
Oklahoma	1997	NA	14893	609	South	West South Central	NA
Oregon	1997	NA	7774	230	West	Pacific	NA
Pennsylvania	1997	NA	34929	286	Northeast	Mid Atlantic	NA
Rhode Island	1997	NA	3310	205	Northeast	New England	NA
South Carolina	1997	NA	20613	525	South	South Atlantic	NA
South Dakota	1997	NA	2239	301	Midwest	West North Central	NA
Tennessee	1997	NA	15095	303	South	East South Central	NA
Texas	1997	NA	140351	711	South	West South Central	NA
Utah	1997	NA	4861	202	West	Mountain	NA
Vermont	1997	NA	1270	139	Northeast	New England	NA
Virginia	1997	NA	24632	403	South	South Atlantic	NA
Washington	1997	NA	13226	233	West	Pacific	NA
